ticker,nome,tipo,categoria
USRT,iShares Core U.S. REIT ETF,REITs,US ETF
RWR,SPDR Dow Jones REIT ETF,REITs,US ETF
SCHH,Schwab U.S. REIT ETF,REITs,US ETF
EEM,iShares MSCI Emerging Markets ETF,Emerging Markets,US ETF
EFA,iShares MSCI EAFE ETF,International Developed,US ETF
FXI,iShares China Large-Cap ETF,China,US ETF
EWJ,iShares MSCI Japan ETF,Japan,US ETF
EWZ,iShares MSCI Brazil ETF,Brazil,US ETF
EWG,iShares MSCI Germany ETF,Germany,US ETF
EWU,iShares MSCI United Kingdom ETF,UK,US ETF
INDA,iShares MSCI India ETF,India,US ETF
TLT,iShares 20+ Year Treasury Bond ETF,Treasury Bonds,US ETF
IEF,iShares 7-10 Year Treasury Bond ETF,Treasury Bonds,US ETF
SHY,iShares 1-3 Year Treasury Bond ETF,Treasury Bonds,US ETF
LQD,iShares iBoxx Investment Grade Corp,Corporate Bonds,US ETF
HYG,iShares iBoxx High Yield Corporate,High Yield Bonds,US ETF
MUB,iShares National Muni Bond ETF,Municipal Bonds,US ETF
TIP,iShares TIPS Bond ETF,Inflation Protected,US ETF
EMB,iShares J.P. Morgan USD Emerging Markets,Emerging Market Bonds,US ETF
BNDX,Vanguard Total International Bond ETF,International Bonds,US ETF
